trade_no,symbol,version,direction,signal_type,signal_price,entry_price,exit_price,stop_loss,take_profit,atr,spread_pips,spread_usd,slippage_entry_pips,slippage_entry_usd,slippage_exit_pips,slippage_exit_usd,total_cost_usd,entry_time,exit_time,duration_bars,gross_pnl_pips,gross_pnl_usd,net_pnl_pips,net_pnl_usd,balance_after,lot_size
1,EURUSD,V1_Agresif,LONG,pullback,1.16198,1.16221,1.16053,1.16053,1.16415,0.00145,2.0,1.0,1.28,0.64,0.05,0.025,1.665,2025-10-13 07:00:00+00:00,2025-10-13 10:00:00+00:00,3,-16.74,-8.3714,-20.07,-10.0364,39.96,0.05
2,EURUSD,V1_Agresif,SHORT,pullback,1.15681,1.15668,1.15848,1.15844,1.15437,0.00163,1.5,0.75,0.55,0.275,0.45,0.225,1.25,2025-10-13 14:00:00+00:00,2025-10-14 07:00:00+00:00,17,-17.58,-8.7913,-20.08,-10.0413,29.92,0.05
3,EURUSD,V1_Agresif,SHORT,pullback,1.15493,1.15473,1.15653,1.15639,1.15274,0.00146,1.0,0.5,1.47,0.735,1.35,0.675,1.91,2025-10-14 10:00:00+00:00,2025-10-14 15:00:00+00:00,5,-16.58,-8.2902,-20.4,-10.2002,19.72,0.05
4,EURUSD,V1_Agresif,LONG,pullback,1.16183,1.16211,1.16358,1.16066,1.16358,0.00117,2.0,1.0,1.78,0.89,0.0,0.0,1.89,2025-10-15 07:00:00+00:00,2025-10-15 09:00:00+00:00,2,14.72,7.3619,10.94,5.4719,25.19,0.05
5,EURUSD,V1_Agresif,LONG,pullback,1.16355,1.16362,1.16223,1.16232,1.1654,0.00123,1.0,0.5,0.17,0.085,0.84,0.42,1.005,2025-10-15 10:00:00+00:00,2025-10-15 13:00:00+00:00,3,-13.01,-6.5073,-15.02,-7.5123,17.68,0.05
6,EURUSD,V1_Agresif,LONG,pullback,1.16556,1.16567,1.16433,1.16438,1.16734,0.00118,2.0,1.0,0.06,0.03,0.44,0.22,1.25,2025-10-16 07:00:00+00:00,2025-10-16 10:00:00+00:00,3,-12.9,-6.4504,-15.4,-7.7004,9.98,0.05
7,EURUSD,V1_Agresif,LONG,pullback,1.16773,1.16791,1.16644,1.16644,1.16966,0.00129,1.5,0.75,1.01,0.505,0.05,0.025,1.28,2025-10-16 17:00:00+00:00,2025-10-16 18:00:00+00:00,1,-14.64,-7.3194,-17.2,-8.5994,1.38,0.05
1,EURUSD,V2_Dengeli,SHORT,pullback,1.15999,1.15981,1.15553,1.16222,1.15553,0.00149,1.0,0.5,1.28,0.64,0.0,0.0,1.14,2025-10-13 10:00:00+00:00,2025-10-14 03:00:00+00:00,17,42.87,21.4336,40.59,20.2936,70.29,0.05
2,EURUSD,V2_Dengeli,SHORT,momentum,1.1559,1.15584,1.15816,1.1581,1.1515,0.00147,1.0,0.5,0.05,0.025,0.55,0.275,0.8,2025-10-14 11:00:00+00:00,2025-10-14 16:00:00+00:00,5,-22.57,-11.2858,-24.17,-12.0858,58.2,0.05
3,EURUSD,V2_Dengeli,SHORT,bb_bounce,1.16324,1.16314,1.16526,1.16511,1.1595,0.00125,1.0,0.5,0.45,0.225,1.47,0.735,1.46,2025-10-15 11:00:00+00:00,2025-10-16 01:00:00+00:00,14,-19.67,-9.8328,-22.59,-11.2928,46.91,0.05
4,EURUSD,V2_Dengeli,LONG,pullback,1.1674,1.16764,1.16556,1.16573,1.17073,0.00111,2.0,1.0,1.35,0.675,1.78,0.89,2.565,2025-10-20 08:00:00+00:00,2025-10-20 09:00:00+00:00,1,-19.01,-9.5072,-24.14,-12.0722,34.84,0.05
5,EURUSD,V2_Dengeli,LONG,bb_bounce,1.16318,1.16325,1.16159,1.16167,1.1662,0.00101,1.0,0.5,0.17,0.085,0.84,0.42,1.005,2025-10-21 09:00:00+00:00,2025-10-21 11:00:00+00:00,2,-15.77,-7.8864,-17.78,-8.8914,25.95,0.05
6,EURUSD,V2_Dengeli,LONG,bb_bounce,1.16202,1.16208,1.16037,1.16041,1.16524,0.00107,1.0,0.5,0.06,0.03,0.44,0.22,0.75,2025-10-21 12:00:00+00:00,2025-10-21 15:00:00+00:00,3,-16.66,-8.3297,-18.16,-9.0797,16.87,0.05
7,EURUSD,V2_Dengeli,LONG,bb_bounce,1.16124,1.16142,1.15943,1.15944,1.16485,0.0012,1.5,0.75,1.01,0.505,0.05,0.025,1.28,2025-10-21 16:00:00+00:00,2025-10-22 11:00:00+00:00,19,-19.8,-9.8993,-22.36,-11.1793,5.69,0.05
8,EURUSD,V2_Dengeli,SHORT,momentum,1.15861,1.15852,1.16022,1.16009,1.15565,0.00099,1.0,0.5,0.4,0.2,1.3,0.65,1.35,2025-10-22 13:00:00+00:00,2025-10-22 17:00:00+00:00,4,-15.68,-7.8406,-18.38,-9.1906,-3.5,0.05
1,EURUSD,V3_Muhafazakar,SHORT,pullback,1.15999,1.15981,1.16297,1.16297,1.15404,0.00149,1.0,0.5,1.28,0.64,0.05,0.025,1.165,2025-10-13 10:00:00+00:00,2025-10-15 09:00:00+00:00,47,-31.54,-15.7724,-33.87,-16.9374,33.06,0.05
2,EURUSD,V3_Muhafazakar,SHORT,momentum,1.15861,1.1585,1.16063,1.16058,1.15467,0.00099,1.0,0.5,0.55,0.275,0.45,0.225,1.0,2025-10-22 13:00:00+00:00,2025-10-22 17:00:00+00:00,4,-20.76,-10.3792,-22.76,-11.3792,21.68,0.05
3,EURUSD,V3_Muhafazakar,SHORT,pullback,1.15965,1.15945,1.16166,1.16152,1.15591,0.00094,1.0,0.5,1.47,0.735,1.35,0.675,1.91,2025-10-23 11:00:00+00:00,2025-10-23 17:00:00+00:00,6,-20.68,-10.3394,-24.5,-12.2494,9.43,0.05
4,EURUSD,V3_Muhafazakar,LONG,pullback,1.16508,1.16533,1.16254,1.16255,1.17014,0.00126,1.5,0.75,1.78,0.89,0.17,0.085,1.725,2025-10-29 16:00:00+00:00,2025-10-29 20:00:00+00:00,4,-27.81,-13.9028,-31.26,-15.6278,-6.2,0.05
